order_item_id,order_id,product_id,quantity,unit_price_cents,line_total_cents
I-000001,O-00001,P-01,1,45000,45000
I-000002,O-00001,P-07,1,280000,280000
I-000003,O-00001,P-04,3,625000,1875000
I-000004,O-00002,P-09,2,47500,95000
I-000005,O-00002,P-06,1,341000,341000
I-000006,O-00002,P-08,3,36000,108000
I-000007,O-00002,P-07,1,280000,280000
I-000008,O-00002,P-03,1,62000,62000
I-000009,O-00003,P-04,1,625000,625000
I-000010,O-00003,P-07,2,280000,560000
I-000011,O-00003,P-02,1,210000,210000
I-000012,O-00003,P-05,3,520000,1560000
I-000013,O-00003,P-01,3,45000,135000
I-000014,O-00004,P-05,1,520000,520000
I-000015,O-00004,P-06,3,341000,1023000
I-000016,O-00004,P-02,3,210000,630000
I-000017,O-00004,P-08,3,36000,108000
I-000018,O-00005,P-01,2,45000,90000
I-000019,O-00005,P-07,1,280000,280000
I-000020,O-00006,P-07,1,280000,280000
I-000021,O-00006,P-10,2,28000,56000
I-000022,O-00006,P-03,1,62000,62000
I-000023,O-00006,P-05,1,520000,520000
I-000024,O-00007,P-02,3,210000,630000
I-000025,O-00007,P-10,2,28000,56000
I-000026,O-00007,P-03,3,62000,186000
I-000027,O-00008,P-10,1,28000,28000
I-000028,O-00008,P-04,1,625000,625000
I-000029,O-00008,P-09,2,47500,95000
I-000030,O-00008,P-05,1,520000,520000
I-000031,O-00008,P-07,1,280000,280000
I-000032,O-00009,P-08,2,36000,72000
I-000033,O-00009,P-04,3,625000,1875000
I-000034,O-00009,P-10,3,28000,84000
I-000035,O-00010,P-04,1,625000,625000
I-000036,O-00010,P-08,3,36000,108000
I-000037,O-00010,P-07,1,280000,280000
I-000038,O-00010,P-03,3,62000,186000
I-000039,O-00011,P-07,3,280000,840000
I-000040,O-00011,P-06,2,341000,682000
I-000041,O-00011,P-10,2,28000,56000
I-000042,O-00011,P-02,1,210000,210000
I-000043,O-00011,P-09,1,47500,47500
I-000044,O-00012,P-02,3,210000,630000
I-000045,O-00012,P-05,2,520000,1040000
I-000046,O-00012,P-04,2,625000,1250000
I-000047,O-00013,P-06,2,341000,682000
I-000048,O-00013,P-02,2,210000,420000
I-000049,O-00014,P-08,2,36000,72000
I-000050,O-00014,P-01,1,45000,45000
I-000051,O-00014,P-02,3,210000,630000
I-000052,O-00014,P-09,1,47500,47500
I-000053,O-00015,P-06,2,341000,682000
I-000054,O-00015,P-01,3,45000,135000
I-000055,O-00015,P-07,1,280000,280000
I-000056,O-00015,P-02,1,210000,210000
I-000057,O-00015,P-05,3,520000,1560000
I-000058,O-00016,P-08,1,36000,36000
I-000059,O-00016,P-05,1,520000,520000
I-000060,O-00016,P-03,1,62000,62000
I-000061,O-00016,P-07,2,280000,560000
I-000062,O-00017,P-07,3,280000,840000
I-000063,O-00017,P-02,2,210000,420000
I-000064,O-00017,P-01,2,45000,90000
I-000065,O-00017,P-09,1,47500,47500
I-000066,O-00018,P-06,2,341000,682000
I-000067,O-00018,P-07,1,280000,280000
I-000068,O-00018,P-03,3,62000,186000
I-000069,O-00018,P-10,1,28000,28000
I-000070,O-00018,P-08,3,36000,108000
I-000071,O-00019,P-06,2,341000,682000
I-000072,O-00019,P-08,2,36000,72000
I-000073,O-00019,P-01,2,45000,90000
I-000074,O-00019,P-04,1,625000,625000
I-000075,O-00020,P-03,3,62000,186000
I-000076,O-00020,P-05,2,520000,1040000
I-000077,O-00020,P-08,1,36000,36000
I-000078,O-00020,P-01,2,45000,90000
I-000079,O-00021,P-04,3,625000,1875000
I-000080,O-00021,P-10,3,28000,84000
I-000081,O-00022,P-01,1,45000,45000
I-000082,O-00022,P-06,3,341000,1023000
I-000083,O-00022,P-02,2,210000,420000
I-000084,O-00023,P-09,1,47500,47500
I-000085,O-00023,P-07,1,280000,280000
I-000086,O-00023,P-03,2,62000,124000
I-000087,O-00023,P-06,1,341000,341000
I-000088,O-00024,P-08,2,36000,72000
I-000089,O-00024,P-10,2,28000,56000
I-000090,O-00025,P-06,1,341000,341000
I-000091,O-00025,P-05,3,520000,1560000
I-000092,O-00026,P-03,1,62000,62000
I-000093,O-00026,P-10,2,28000,56000
I-000094,O-00026,P-01,2,45000,90000
I-000095,O-00027,P-09,1,47500,47500
I-000096,O-00027,P-04,3,625000,1875000
I-000097,O-00027,P-07,3,280000,840000
I-000098,O-00027,P-05,3,520000,1560000
I-000099,O-00027,P-10,2,28000,56000
I-000100,O-00028,P-09,2,47500,95000
I-000101,O-00028,P-02,2,210000,420000
I-000102,O-00028,P-08,1,36000,36000
I-000103,O-00028,P-07,2,280000,560000
I-000104,O-00028,P-03,1,62000,62000
I-000105,O-00029,P-08,3,36000,108000
I-000106,O-00029,P-04,1,625000,625000
I-000107,O-00029,P-10,1,28000,28000
I-000108,O-00029,P-06,2,341000,682000
I-000109,O-00030,P-06,2,341000,682000
I-000110,O-00030,P-03,1,62000,62000
I-000111,O-00030,P-08,2,36000,72000
I-000112,O-00030,P-02,3,210000,630000
I-000113,O-00031,P-08,3,36000,108000
I-000114,O-00031,P-10,3,28000,84000
I-000115,O-00032,P-08,1,36000,36000
I-000116,O-00032,P-09,1,47500,47500
I-000117,O-00032,P-07,2,280000,560000
I-000118,O-00033,P-03,1,62000,62000
I-000119,O-00033,P-01,1,45000,45000
I-000120,O-00034,P-06,3,341000,1023000
I-000121,O-00034,P-03,3,62000,186000
I-000122,O-00035,P-04,2,625000,1250000
I-000123,O-00035,P-03,3,62000,186000
I-000124,O-00035,P-07,2,280000,560000
I-000125,O-00036,P-08,1,36000,36000
I-000126,O-00036,P-07,3,280000,840000
I-000127,O-00036,P-09,1,47500,47500
I-000128,O-00037,P-02,3,210000,630000
I-000129,O-00037,P-09,1,47500,47500
I-000130,O-00037,P-01,1,45000,45000
I-000131,O-00038,P-04,1,625000,625000
I-000132,O-00038,P-01,1,45000,45000
I-000133,O-00038,P-02,3,210000,630000
I-000134,O-00038,P-09,1,47500,47500
I-000135,O-00038,P-07,1,280000,280000
I-000136,O-00039,P-03,1,62000,62000
I-000137,O-00039,P-06,2,341000,682000
I-000138,O-00039,P-07,1,280000,280000
I-000139,O-00039,P-02,3,210000,630000
I-000140,O-00039,P-05,3,520000,1560000
I-000141,O-00040,P-07,2,280000,560000
I-000142,O-00040,P-05,3,520000,1560000
I-000143,O-00040,P-06,1,341000,341000
I-000144,O-00041,P-03,1,62000,62000
I-000145,O-00041,P-08,2,36000,72000
I-000146,O-00041,P-10,1,28000,28000
I-000147,O-00041,P-01,1,45000,45000
I-000148,O-00041,P-04,2,625000,1250000
I-000149,O-00042,P-10,2,28000,56000
I-000150,O-00042,P-04,1,625000,625000
I-000151,O-00043,P-04,1,625000,625000
I-000152,O-00043,P-05,3,520000,1560000
I-000153,O-00043,P-01,3,45000,135000
I-000154,O-00044,P-08,1,36000,36000
I-000155,O-00044,P-07,1,280000,280000
I-000156,O-00044,P-09,1,47500,47500
I-000157,O-00045,P-07,2,280000,560000
I-000158,O-00045,P-03,1,62000,62000
I-000159,O-00045,P-09,3,47500,142500
I-000160,O-00045,P-10,1,28000,28000
I-000161,O-00045,P-06,2,341000,682000
I-000162,O-00046,P-02,1,210000,210000
I-000163,O-00046,P-08,2,36000,72000
I-000164,O-00046,P-10,3,28000,84000
I-000165,O-00046,P-09,3,47500,142500
I-000166,O-00047,P-09,3,47500,142500
I-000167,O-00047,P-10,1,28000,28000
I-000168,O-00047,P-02,3,210000,630000
I-000169,O-00047,P-07,3,280000,840000
I-000170,O-00048,P-04,1,625000,625000
I-000171,O-00048,P-07,2,280000,560000
I-000172,O-00048,P-01,2,45000,90000
I-000173,O-00048,P-03,2,62000,124000
I-000174,O-00049,P-05,3,520000,1560000
I-000175,O-00049,P-09,3,47500,142500
I-000176,O-00050,P-10,2,28000,56000
I-000177,O-00050,P-08,3,36000,108000
I-000178,O-00050,P-02,3,210000,630000
I-000179,O-00050,P-05,2,520000,1040000
I-000180,O-00051,P-08,2,36000,72000
I-000181,O-00051,P-01,3,45000,135000
I-000182,O-00051,P-02,2,210000,420000
I-000183,O-00051,P-04,3,625000,1875000
I-000184,O-00051,P-06,1,341000,341000
I-000185,O-00052,P-02,2,210000,420000
I-000186,O-00052,P-07,2,280000,560000
I-000187,O-00052,P-09,1,47500,47500
I-000188,O-00053,P-01,1,45000,45000
I-000189,O-00053,P-04,2,625000,1250000
I-000190,O-00054,P-07,2,280000,560000
I-000191,O-00054,P-06,2,341000,682000
I-000192,O-00054,P-09,1,47500,47500
I-000193,O-00054,P-08,1,36000,36000
I-000194,O-00055,P-08,1,36000,36000
I-000195,O-00055,P-04,3,625000,1875000
I-000196,O-00055,P-07,2,280000,560000
I-000197,O-00055,P-06,2,341000,682000
I-000198,O-00056,P-01,1,45000,45000
I-000199,O-00056,P-04,3,625000,1875000
I-000200,O-00057,P-03,2,62000,124000
I-000201,O-00057,P-05,3,520000,1560000
I-000202,O-00057,P-06,3,341000,1023000
I-000203,O-00057,P-04,3,625000,1875000
I-000204,O-00058,P-10,1,28000,28000
I-000205,O-00058,P-09,3,47500,142500
I-000206,O-00058,P-02,1,210000,210000
I-000207,O-00059,P-05,2,520000,1040000
I-000208,O-00059,P-10,1,28000,28000
I-000209,O-00059,P-01,3,45000,135000
I-000210,O-00059,P-06,2,341000,682000
I-000211,O-00059,P-08,2,36000,72000
I-000212,O-00060,P-09,2,47500,95000
I-000213,O-00060,P-04,1,625000,625000
I-000214,O-00060,P-05,2,520000,1040000
I-000215,O-00060,P-08,1,36000,36000
I-000216,O-00061,P-02,1,210000,210000
I-000217,O-00061,P-01,3,45000,135000
I-000218,O-00061,P-04,3,625000,1875000
I-000219,O-00062,P-01,1,45000,45000
I-000220,O-00062,P-05,3,520000,1560000
I-000221,O-00063,P-08,1,36000,36000
I-000222,O-00063,P-05,2,520000,1040000
I-000223,O-00063,P-02,3,210000,630000
I-000224,O-00063,P-03,1,62000,62000
I-000225,O-00063,P-04,2,625000,1250000
I-000226,O-00064,P-05,1,520000,520000
I-000227,O-00064,P-01,2,45000,90000
I-000228,O-00064,P-10,1,28000,28000
I-000229,O-00064,P-07,3,280000,840000
I-000230,O-00065,P-07,3,280000,840000
I-000231,O-00065,P-10,3,28000,84000
I-000232,O-00066,P-10,3,28000,84000
I-000233,O-00066,P-02,3,210000,630000
I-000234,O-00066,P-07,3,280000,840000
I-000235,O-00066,P-09,2,47500,95000
I-000236,O-00067,P-04,2,625000,1250000
I-000237,O-00067,P-09,2,47500,95000
I-000238,O-00067,P-01,2,45000,90000
I-000239,O-00067,P-08,2,36000,72000
I-000240,O-00067,P-07,2,280000,560000
I-000241,O-00068,P-02,1,210000,210000
I-000242,O-00068,P-08,1,36000,36000
I-000243,O-00069,P-02,2,210000,420000
I-000244,O-00069,P-10,2,28000,56000
I-000245,O-00069,P-03,3,62000,186000
I-000246,O-00069,P-09,3,47500,142500
I-000247,O-00069,P-06,2,341000,682000
I-000248,O-00070,P-05,2,520000,1040000
I-000249,O-00070,P-08,2,36000,72000
I-000250,O-00070,P-07,1,280000,280000
I-000251,O-00070,P-09,2,47500,95000
I-000252,O-00070,P-02,1,210000,210000
I-000253,O-00071,P-03,3,62000,186000
I-000254,O-00071,P-04,2,625000,1250000
I-000255,O-00071,P-01,1,45000,45000
I-000256,O-00071,P-06,1,341000,341000
I-000257,O-00071,P-10,1,28000,28000
I-000258,O-00072,P-06,2,341000,682000
I-000259,O-00072,P-05,1,520000,520000
I-000260,O-00072,P-10,1,28000,28000
