order_id,farmer_id,season,order_date,deadline,principal_cents,service_fee_cents,total_due_cents
O-00001,F-00001,2025B,2025-07-14,2026-02-28,2200000,264000,2464000
O-00002,F-00001,2025A,2025-02-01,2025-09-30,886000,106320,992320
O-00003,F-00002,2025A,2025-01-22,2025-09-30,3090000,370800,3460800
O-00004,F-00002,2025B,2025-07-09,2026-02-28,2281000,273720,2554720
O-00005,F-00002,2026A,2026-02-08,2026-09-30,370000,44400,414400
O-00006,F-00003,2026A,2026-02-17,2026-09-30,918000,110160,1028160
O-00007,F-00004,2025A,2025-01-17,2025-09-30,872000,104640,976640
O-00008,F-00005,2025A,2025-01-31,2025-09-30,1548000,185760,1733760
O-00009,F-00005,2026A,2026-01-24,2026-09-30,2031000,243720,2274720
O-00010,F-00005,2025B,2025-07-21,2026-02-28,1199000,143880,1342880
O-00011,F-00006,2025B,2025-07-15,2026-02-28,1835500,220260,2055760
O-00012,F-00006,2026A,2026-02-13,2026-09-30,2920000,350400,3270400
O-00013,F-00006,2025A,2025-02-18,2025-09-30,1102000,132240,1234240
O-00014,F-00007,2026A,2026-02-11,2026-09-30,794500,95340,889840
O-00015,F-00007,2025A,2025-02-23,2025-09-30,2867000,344040,3211040
O-00016,F-00007,2025B,2025-07-17,2026-02-28,1178000,141360,1319360
O-00017,F-00008,2026A,2026-02-15,2026-09-30,1397500,167700,1565200
O-00018,F-00008,2025A,2025-02-15,2025-09-30,1284000,154080,1438080
O-00019,F-00009,2025A,2025-01-22,2025-09-30,1469000,176280,1645280
O-00020,F-00009,2025B,2025-08-07,2026-02-28,1352000,162240,1514240
O-00021,F-00010,2025A,2025-02-12,2025-09-30,1959000,235080,2194080
O-00022,F-00010,2025B,2025-07-03,2026-02-28,1488000,178560,1666560
O-00023,F-00011,2025B,2025-08-09,2026-02-28,792500,95100,887600
O-00024,F-00011,2026A,2026-01-23,2026-09-30,128000,15360,143360
O-00025,F-00012,2025A,2025-02-07,2025-09-30,1901000,228120,2129120
O-00026,F-00012,2025B,2025-08-06,2026-02-28,208000,24960,232960
O-00027,F-00013,2025B,2025-07-22,2026-02-28,4378500,525420,4903920
O-00028,F-00013,2026A,2026-01-21,2026-09-30,1173000,140760,1313760
O-00029,F-00013,2025A,2025-01-26,2025-09-30,1443000,173160,1616160
O-00030,F-00014,2025B,2025-07-10,2026-02-28,1446000,173520,1619520
O-00031,F-00014,2026A,2026-01-31,2026-09-30,192000,23040,215040
O-00032,F-00015,2025B,2025-07-10,2026-02-28,643500,77220,720720
O-00033,F-00015,2025A,2025-02-24,2025-09-30,107000,12840,119840
O-00034,F-00016,2025A,2025-02-19,2025-09-30,1209000,145080,1354080
O-00035,F-00016,2026A,2026-01-18,2026-09-30,1996000,239520,2235520
O-00036,F-00016,2025B,2025-07-23,2026-02-28,923500,110820,1034320
O-00037,F-00017,2026A,2026-02-19,2026-09-30,722500,86700,809200
O-00038,F-00017,2025B,2025-08-06,2026-02-28,1627500,195300,1822800
O-00039,F-00018,2025B,2025-07-19,2026-02-28,3214000,385680,3599680
O-00040,F-00018,2026A,2026-02-20,2026-09-30,2461000,295320,2756320
O-00041,F-00018,2025A,2025-01-26,2025-09-30,1457000,174840,1631840
O-00042,F-00019,2025B,2025-07-12,2026-02-28,681000,81720,762720
O-00043,F-00019,2025A,2025-02-10,2025-09-30,2320000,278400,2598400
O-00044,F-00019,2026A,2026-02-13,2026-09-30,363500,43620,407120
O-00045,F-00020,2025A,2025-02-20,2025-09-30,1474500,176940,1651440
O-00046,F-00020,2025B,2025-07-28,2026-02-28,508500,61020,569520
O-00047,F-00021,2025A,2025-02-19,2025-09-30,1640500,196860,1837360
O-00048,F-00022,2025A,2025-02-01,2025-09-30,1399000,167880,1566880
O-00049,F-00023,2026A,2026-02-21,2026-09-30,1702500,204300,1906800
O-00050,F-00023,2025B,2025-07-20,2026-02-28,1834000,220080,2054080
O-00051,F-00024,2025B,2025-07-21,2026-02-28,2843000,341160,3184160
O-00052,F-00024,2025A,2025-01-16,2025-09-30,1027500,123300,1150800
O-00053,F-00025,2026A,2026-01-29,2026-09-30,1295000,155400,1450400
O-00054,F-00025,2025A,2025-02-06,2025-09-30,1325500,159060,1484560
O-00055,F-00026,2026A,2026-01-21,2026-09-30,3153000,378360,3531360
O-00056,F-00026,2025A,2025-01-17,2025-09-30,1920000,230400,2150400
O-00057,F-00026,2025B,2025-08-07,2026-02-28,4582000,549840,5131840
O-00058,F-00027,2025A,2025-02-12,2025-09-30,380500,45660,426160
O-00059,F-00027,2025B,2025-08-01,2026-02-28,1957000,234840,2191840
O-00060,F-00028,2026A,2026-01-13,2026-09-30,1796000,215520,2011520
O-00061,F-00029,2025B,2025-07-30,2026-02-28,2220000,266400,2486400
O-00062,F-00030,2026A,2026-02-09,2026-09-30,1605000,192600,1797600
O-00063,F-00031,2026A,2026-01-27,2026-09-30,3018000,362160,3380160
O-00064,F-00031,2025B,2025-08-06,2026-02-28,1478000,177360,1655360
O-00065,F-00031,2025A,2025-01-28,2025-09-30,924000,110880,1034880
O-00066,F-00032,2026A,2026-01-29,2026-09-30,1649000,197880,1846880
O-00067,F-00033,2025B,2025-07-24,2026-02-28,2067000,248040,2315040
O-00068,F-00034,2026A,2026-02-11,2026-09-30,246000,29520,275520
O-00069,F-00035,2025A,2025-02-11,2025-09-30,1486500,178380,1664880
O-00070,F-00035,2025B,2025-07-14,2026-02-28,1697000,203640,1900640
O-00071,F-00035,2026A,2026-02-01,2026-09-30,1850000,222000,2072000
O-00072,F-00036,2025A,2025-02-01,2025-09-30,1320000,158400,1478400
O-00073,F-00036,2025B,2025-07-13,2026-02-28,3165500,379860,3545360
O-00074,F-00037,2025A,2025-01-24,2025-09-30,1908000,228960,2136960
O-00075,F-00038,2026A,2026-01-27,2026-09-30,118000,14160,132160
O-00076,F-00038,2025B,2025-08-08,2026-02-28,386000,46320,432320
O-00077,F-00039,2025B,2025-07-20,2026-02-28,1758000,210960,1968960
O-00078,F-00040,2025B,2025-08-02,2026-02-28,690500,82860,773360
O-00079,F-00041,2026A,2026-01-21,2026-09-30,1104000,132480,1236480
O-00080,F-00041,2025A,2025-01-29,2025-09-30,702500,84300,786800
O-00081,F-00042,2025B,2025-08-09,2026-02-28,1068000,128160,1196160
O-00082,F-00042,2026A,2026-02-06,2026-09-30,1502000,180240,1682240
O-00083,F-00042,2025A,2025-01-18,2025-09-30,785000,94200,879200
O-00084,F-00043,2025B,2025-07-16,2026-02-28,1144000,137280,1281280
O-00085,F-00044,2026A,2026-02-03,2026-09-30,1250000,150000,1400000
O-00086,F-00045,2025B,2025-07-08,2026-02-28,1082500,129900,1212400
O-00087,F-00046,2025A,2025-02-12,2025-09-30,1041000,124920,1165920
O-00088,F-00046,2026A,2026-02-06,2026-09-30,1323000,158760,1481760
O-00089,F-00046,2025B,2025-07-16,2026-02-28,3156000,378720,3534720
O-00090,F-00047,2026A,2026-02-03,2026-09-30,2195500,263460,2458960
O-00091,F-00048,2025B,2025-07-05,2026-02-28,3163000,379560,3542560
O-00092,F-00049,2025B,2025-07-27,2026-02-28,744000,89280,833280
O-00093,F-00049,2026A,2026-02-09,2026-09-30,2248500,269820,2518320
O-00094,F-00050,2025B,2025-07-12,2026-02-28,2429000,291480,2720480
O-00095,F-00051,2026A,2026-02-03,2026-09-30,962000,115440,1077440
O-00096,F-00051,2025A,2025-01-25,2025-09-30,1583000,189960,1772960
O-00097,F-00052,2025B,2025-08-03,2026-02-28,3552000,426240,3978240
O-00098,F-00052,2026A,2026-02-15,2026-09-30,1594000,191280,1785280
O-00099,F-00053,2026A,2026-02-05,2026-09-30,352000,42240,394240
O-00100,F-00053,2025A,2025-02-10,2025-09-30,689000,82680,771680
O-00101,F-00053,2025B,2025-07-16,2026-02-28,2034000,244080,2278080
O-00102,F-00054,2025A,2025-02-19,2025-09-30,3314500,397740,3712240
O-00103,F-00054,2025B,2025-07-02,2026-02-28,3661000,439320,4100320
O-00104,F-00055,2025B,2025-07-27,2026-02-28,1713000,205560,1918560
O-00105,F-00055,2025A,2025-01-17,2025-09-30,880000,105600,985600
O-00106,F-00055,2026A,2026-01-20,2026-09-30,902000,108240,1010240
O-00107,F-00056,2026A,2026-01-24,2026-09-30,644000,77280,721280
O-00108,F-00056,2025B,2025-07-25,2026-02-28,598500,71820,670320
O-00109,F-00056,2025A,2025-02-09,2025-09-30,2225000,267000,2492000
O-00110,F-00057,2025A,2025-02-15,2025-09-30,246000,29520,275520
O-00111,F-00057,2025B,2025-07-18,2026-02-28,103500,12420,115920
O-00112,F-00058,2025A,2025-02-17,2025-09-30,2135500,256260,2391760
O-00113,F-00059,2026A,2026-01-22,2026-09-30,800000,96000,896000
O-00114,F-00059,2025A,2025-01-15,2025-09-30,1778000,213360,1991360
O-00115,F-00059,2025B,2025-07-28,2026-02-28,1952000,234240,2186240
O-00116,F-00060,2025A,2025-02-11,2025-09-30,672000,80640,752640
O-00117,F-00060,2025B,2025-07-28,2026-02-28,226500,27180,253680
O-00118,F-00061,2025B,2025-07-25,2026-02-28,90000,10800,100800
O-00119,F-00061,2025A,2025-01-20,2025-09-30,627000,75240,702240
O-00120,F-00062,2025B,2025-07-10,2026-02-28,690500,82860,773360
O-00121,F-00062,2025A,2025-01-24,2025-09-30,492000,59040,551040
O-00122,F-00062,2026A,2026-02-14,2026-09-30,1337000,160440,1497440
O-00123,F-00063,2026A,2026-02-16,2026-09-30,1950000,234000,2184000
O-00124,F-00064,2025A,2025-01-28,2025-09-30,2056000,246720,2302720
O-00125,F-00065,2025B,2025-07-21,2026-02-28,1869500,224340,2093840
O-00126,F-00065,2025A,2025-01-16,2025-09-30,1920000,230400,2150400
O-00127,F-00065,2026A,2026-01-13,2026-09-30,100000,12000,112000
O-00128,F-00066,2025B,2025-07-05,2026-02-28,1535000,184200,1719200
O-00129,F-00067,2026A,2026-01-22,2026-09-30,557500,66900,624400
O-00130,F-00067,2025B,2025-07-11,2026-02-28,1382000,165840,1547840
O-00131,F-00067,2025A,2025-02-08,2025-09-30,1165500,139860,1305360
O-00132,F-00068,2026A,2026-01-29,2026-09-30,1668000,200160,1868160
O-00133,F-00069,2025A,2025-02-08,2025-09-30,1238000,148560,1386560
O-00134,F-00069,2025B,2025-08-07,2026-02-28,3521000,422520,3943520
O-00135,F-00070,2026A,2026-01-16,2026-09-30,3307000,396840,3703840
O-00136,F-00070,2025A,2025-02-13,2025-09-30,2644000,317280,2961280
O-00137,F-00071,2025B,2025-07-23,2026-02-28,1941500,232980,2174480
O-00138,F-00071,2026A,2026-02-10,2026-09-30,1712000,205440,1917440
O-00139,F-00072,2025B,2025-07-13,2026-02-28,98000,11760,109760
O-00140,F-00072,2026A,2026-02-19,2026-09-30,2967500,356100,3323600
O-00141,F-00072,2025A,2025-02-17,2025-09-30,1129000,135480,1264480
O-00142,F-00073,2025B,2025-07-05,2026-02-28,674500,80940,755440
O-00143,F-00073,2025A,2025-02-22,2025-09-30,1047000,125640,1172640
O-00144,F-00074,2025B,2025-07-11,2026-02-28,1312000,157440,1469440
O-00145,F-00074,2026A,2026-01-21,2026-09-30,2900000,348000,3248000
O-00146,F-00075,2026A,2026-02-18,2026-09-30,777000,93240,870240
O-00147,F-00075,2025A,2025-02-12,2025-09-30,140000,16800,156800
O-00148,F-00075,2025B,2025-07-23,2026-02-28,606000,72720,678720
O-00149,F-00076,2025A,2025-02-20,2025-09-30,2325500,279060,2604560
O-00150,F-00076,2025B,2025-07-31,2026-02-28,862000,103440,965440
O-00151,F-00077,2026A,2026-02-11,2026-09-30,1587000,190440,1777440
O-00152,F-00078,2025B,2025-07-15,2026-02-28,1331000,159720,1490720
O-00153,F-00078,2025A,2025-02-03,2025-09-30,1510500,181260,1691760
O-00154,F-00078,2026A,2026-02-16,2026-09-30,2035500,244260,2279760
O-00155,F-00079,2026A,2026-02-16,2026-09-30,2183000,261960,2444960
O-00156,F-00080,2026A,2026-02-11,2026-09-30,2062000,247440,2309440
O-00157,F-00081,2025B,2025-07-12,2026-02-28,1550000,186000,1736000
O-00158,F-00081,2026A,2026-02-02,2026-09-30,3036000,364320,3400320
O-00159,F-00082,2026A,2026-02-15,2026-09-30,3717000,446040,4163040
O-00160,F-00083,2026A,2026-01-30,2026-09-30,3312000,397440,3709440
O-00161,F-00083,2025B,2025-07-02,2026-02-28,777000,93240,870240
O-00162,F-00084,2025A,2025-02-21,2025-09-30,2355500,282660,2638160
O-00163,F-00085,2025A,2025-02-23,2025-09-30,2020000,242400,2262400
O-00164,F-00086,2026A,2026-02-21,2026-09-30,2194500,263340,2457840
O-00165,F-00087,2025A,2025-02-20,2025-09-30,1186000,142320,1328320
O-00166,F-00087,2026A,2026-02-16,2026-09-30,1530000,183600,1713600
O-00167,F-00087,2025B,2025-07-17,2026-02-28,2273000,272760,2545760
O-00168,F-00088,2025A,2025-01-19,2025-09-30,1360000,163200,1523200
O-00169,F-00088,2026A,2026-01-18,2026-09-30,657500,78900,736400
O-00170,F-00089,2025B,2025-07-09,2026-02-28,2261000,271320,2532320
O-00171,F-00089,2025A,2025-01-15,2025-09-30,924000,110880,1034880
O-00172,F-00090,2025A,2025-02-17,2025-09-30,756500,90780,847280
O-00173,F-00090,2025B,2025-08-02,2026-02-28,1902500,228300,2130800
O-00174,F-00090,2026A,2026-02-06,2026-09-30,1907500,228900,2136400
O-00175,F-00091,2025B,2025-07-07,2026-02-28,835000,100200,935200
O-00176,F-00092,2025A,2025-01-28,2025-09-30,1442500,173100,1615600
O-00177,F-00092,2026A,2026-01-18,2026-09-30,862000,103440,965440
O-00178,F-00092,2025B,2025-07-20,2026-02-28,641000,76920,717920
O-00179,F-00093,2026A,2026-02-09,2026-09-30,697000,83640,780640
O-00180,F-00094,2025A,2025-02-13,2025-09-30,2197000,263640,2460640
O-00181,F-00094,2026A,2026-02-09,2026-09-30,610000,73200,683200
O-00182,F-00095,2026A,2026-01-26,2026-09-30,4198000,503760,4701760
O-00183,F-00095,2025B,2025-07-03,2026-02-28,1941500,232980,2174480
O-00184,F-00096,2025A,2025-02-24,2025-09-30,646000,77520,723520
O-00185,F-00096,2026A,2026-01-21,2026-09-30,897000,107640,1004640
O-00186,F-00096,2025B,2025-08-07,2026-02-28,995500,119460,1114960
O-00187,F-00097,2025B,2025-07-24,2026-02-28,1539000,184680,1723680
O-00188,F-00097,2026A,2026-02-06,2026-09-30,1950000,234000,2184000
O-00189,F-00098,2025B,2025-08-10,2026-02-28,2553000,306360,2859360
O-00190,F-00099,2025A,2025-02-18,2025-09-30,2260500,271260,2531760
O-00191,F-00100,2025A,2025-01-29,2025-09-30,3198500,383820,3582320
O-00192,F-00100,2026A,2026-02-14,2026-09-30,885000,106200,991200
O-00193,F-00100,2025B,2025-07-19,2026-02-28,2318000,278160,2596160
O-00194,F-00101,2025A,2025-02-02,2025-09-30,1931000,231720,2162720
O-00195,F-00101,2025B,2025-08-03,2026-02-28,1395500,167460,1562960
O-00196,F-00101,2026A,2026-01-15,2026-09-30,684000,82080,766080
O-00197,F-00102,2026A,2026-01-24,2026-09-30,2924500,350940,3275440
O-00198,F-00102,2025A,2025-01-21,2025-09-30,305000,36600,341600
O-00199,F-00102,2025B,2025-07-19,2026-02-28,683000,81960,764960
O-00200,F-00103,2026A,2026-02-01,2026-09-30,1305000,156600,1461600
O-00201,F-00103,2025A,2025-02-21,2025-09-30,1443000,173160,1616160
O-00202,F-00104,2026A,2026-01-24,2026-09-30,884500,106140,990640
O-00203,F-00105,2025A,2025-01-17,2025-09-30,3251000,390120,3641120
O-00204,F-00105,2025B,2025-07-07,2026-02-28,1068000,128160,1196160
O-00205,F-00106,2025A,2025-01-23,2025-09-30,2636500,316380,2952880
O-00206,F-00107,2025B,2025-07-02,2026-02-28,1384000,166080,1550080
O-00207,F-00107,2026A,2026-02-18,2026-09-30,1238500,148620,1387120
O-00208,F-00107,2025A,2025-02-03,2025-09-30,1912000,229440,2141440
O-00209,F-00108,2025B,2025-07-05,2026-02-28,1999000,239880,2238880
O-00210,F-00109,2025A,2025-02-09,2025-09-30,686000,82320,768320
O-00211,F-00109,2026A,2026-02-19,2026-09-30,1138000,136560,1274560
O-00212,F-00109,2025B,2025-07-15,2026-02-28,730000,87600,817600
O-00213,F-00110,2026A,2026-01-12,2026-09-30,159000,19080,178080
O-00214,F-00111,2026A,2026-01-22,2026-09-30,2395000,287400,2682400
O-00215,F-00111,2025B,2025-08-10,2026-02-28,195000,23400,218400
O-00216,F-00112,2025B,2025-07-23,2026-02-28,103500,12420,115920
O-00217,F-00112,2025A,2025-02-11,2025-09-30,1100000,132000,1232000
O-00218,F-00112,2026A,2026-01-24,2026-09-30,2043500,245220,2288720
O-00219,F-00113,2026A,2026-01-15,2026-09-30,668000,80160,748160
O-00220,F-00113,2025A,2025-02-24,2025-09-30,1184000,142080,1326080
O-00221,F-00113,2025B,2025-07-31,2026-02-28,1457000,174840,1631840
O-00222,F-00114,2025B,2025-07-07,2026-02-28,1586000,190320,1776320
O-00223,F-00114,2026A,2026-01-22,2026-09-30,2043500,245220,2288720
O-00224,F-00115,2025B,2025-07-09,2026-02-28,2456000,294720,2750720
O-00225,F-00115,2025A,2025-01-20,2025-09-30,1169500,140340,1309840
O-00226,F-00115,2026A,2026-01-26,2026-09-30,687000,82440,769440
O-00227,F-00116,2025A,2025-02-02,2025-09-30,2169000,260280,2429280
O-00228,F-00116,2025B,2025-07-05,2026-02-28,1907000,228840,2135840
O-00229,F-00116,2026A,2026-02-20,2026-09-30,3262000,391440,3653440
O-00230,F-00117,2025A,2025-02-05,2025-09-30,2304000,276480,2580480
O-00231,F-00117,2026A,2026-01-14,2026-09-30,2125000,255000,2380000
