payment_id,order_id,payment_date,amount_cents,channel
PM-000001,O-00001,2025-08-23,405282,Cash at site
PM-000002,O-00001,2025-09-07,637411,Mobile money
PM-000003,O-00001,2025-10-27,474261,Bank deposit
PM-000004,O-00001,2025-12-30,334677,Mobile money
PM-000005,O-00001,2025-11-05,672453,Mobile money
PM-000006,O-00002,2025-05-13,482507,Bank deposit
PM-000007,O-00002,2025-08-04,429291,Mobile money
PM-000008,O-00003,2025-02-16,375497,Mobile money
PM-000009,O-00003,2025-03-17,580622,Bank deposit
PM-000010,O-00003,2025-04-27,494385,Mobile money
PM-000011,O-00003,2025-05-15,316098,Bank deposit
PM-000012,O-00003,2025-07-13,558128,Bank deposit
PM-000013,O-00003,2025-06-30,773719,Mobile money
PM-000014,O-00003,2025-10-29,383718,Mobile money
PM-000015,O-00004,2025-07-30,357950,Bank deposit
PM-000016,O-00004,2025-08-19,526716,Mobile money
PM-000017,O-00004,2025-09-22,404713,Mobile money
PM-000018,O-00004,2025-10-18,348799,Cash at site
PM-000019,O-00004,2025-12-14,331329,Bank deposit
PM-000020,O-00004,2025-12-25,400074,Mobile money
PM-000021,O-00005,2026-03-04,89005,Mobile money
PM-000022,O-00005,2026-05-07,84369,Bank deposit
PM-000023,O-00005,2026-05-08,45733,Cash at site
PM-000024,O-00005,2026-06-08,81422,Mobile money
PM-000025,O-00005,2026-05-18,76630,Mobile money
PM-000026,O-00005,2026-10-26,36770,Bank deposit
PM-000027,O-00006,2026-03-30,357668,Mobile money
PM-000028,O-00006,2026-06-07,230707,Cash at site
PM-000029,O-00006,2026-07-02,246551,Bank deposit
PM-000030,O-00006,2026-09-11,214188,Mobile money
PM-000031,O-00007,2025-05-06,286237,Bank deposit
PM-000032,O-00007,2025-10-18,658481,Bank deposit
PM-000033,O-00008,2025-03-09,483709,Mobile money
PM-000034,O-00008,2025-04-22,288122,Mobile money
PM-000035,O-00008,2025-06-08,573209,Bank deposit
PM-000036,O-00008,2025-07-10,413681,Mobile money
PM-000037,O-00009,2026-03-20,513609,Mobile money
PM-000038,O-00009,2026-05-08,898455,Bank deposit
PM-000039,O-00009,2026-06-16,725469,Mobile money
PM-000040,O-00010,2025-11-02,612019,Mobile money
PM-000041,O-00010,2026-01-05,693914,Bank deposit
PM-000042,O-00011,2025-08-26,721866,Mobile money
PM-000043,O-00011,2025-10-19,514663,Mobile money
PM-000044,O-00011,2025-12-12,522790,Mobile money
PM-000045,O-00011,2026-02-24,391974,Mobile money
PM-000046,O-00012,2026-04-30,1854738,Bank deposit
PM-000047,O-00012,2026-07-30,1493860,Mobile money
PM-000048,O-00013,2025-03-23,161423,Mobile money
PM-000049,O-00013,2025-03-31,145473,Mobile money
PM-000050,O-00013,2025-04-09,140188,Mobile money
PM-000051,O-00013,2025-05-28,224387,Cash at site
PM-000052,O-00013,2025-06-13,145072,Mobile money
PM-000053,O-00013,2025-07-24,205838,Cash at site
PM-000054,O-00013,2025-07-13,241006,Mobile money
PM-000055,O-00014,2026-04-05,181961,Mobile money
PM-000056,O-00014,2026-06-19,255739,Mobile money
PM-000057,O-00014,2026-08-03,141053,Mobile money
PM-000058,O-00014,2026-07-03,226922,Mobile money
PM-000059,O-00015,2025-05-11,2011184,Mobile money
PM-000060,O-00015,2025-08-23,980457,Mobile money
PM-000061,O-00016,2025-08-11,157845,Mobile money
PM-000062,O-00016,2025-09-08,267191,Mobile money
PM-000063,O-00016,2025-11-07,266612,Mobile money
PM-000064,O-00016,2025-11-27,153095,Mobile money
PM-000065,O-00016,2026-01-24,216343,Bank deposit
PM-000066,O-00016,2026-04-01,293332,Mobile money
PM-000067,O-00017,2026-05-27,782200,Mobile money
PM-000068,O-00017,2026-06-11,531986,Cash at site
PM-000069,O-00018,2025-04-16,303565,Bank deposit
